species	m	sex	m_source	temp	l	linf	k	linf_k_source
Nemipterus marginatus	1.73	C	Pauly & Martosubroto(1980)	28	15.1	24.5	0.42	Pauly & Martosubroto(1980)
Pagrus auratus	2.58	C	Wakefield et al.(2007)	16	10.5	107.9	0.07	Sanders & Powell(1979)
Plectropomus leopardus	0.12	C	Russ et al.(1998)	26	47	68.1	0.1	Ferreira & Russ(1995)
Pleuronectes platessa	0.2	C	Siddeek(1989)	12	36.3	46	0.26	Basimi & Grove(1985)
Pleuronectes platessa	0.14	M	Beverton(1964)	7	31.2	45	0.15	Beverton & Holt(1959)
Pleuronectes platessa	0.08	F	Beverton(1964)	7	40.5	70	0.08	Beverton & Holt(1959)
Pneumatophorus japonicus	0.5	C	Parrish & MacCall(1978)	15	36.7	43.6	0.24	Parrish & MacCall(1978)
Pomatoschistus minutus	2.61	C	Fonds(1973)	10	4.5	9.3	0.93	Fonds(1973)
Pomatoschistus minutus	4.04	C	Fonds(1973)	10	7	9.3	0.93	Fonds(1973)
Pseudotolithus elongatus	0.34	C	Le Guen(1971)	26	31.5	46.7	0.26	Le Guen(1971)
Rastrelliger neglectus	7.22	C	Hongskul(1974)	28	17.6	20.9	3.38	Hongskul(1974)
Rhizoprionodon taylori	0.7	M	Simpendorfer(1999)	25	60	65.2	1.34	Simpendorfer(1993)
Rhizoprionodon taylori	0.56	F	Simpendorfer(1999)	25	64	73.2	1.01	Simpendorfer(1993)
Sardinella longiceps	0.67	C	Banerji(1973)	27	14.5	20.7	0.53	Banerji(1973)
Sardinops caerulea	0.4	C	Beverton(1963)	15	26.9	29.3	0.45	Beverton(1963)
Sardinops sagax	0.13	C	Silliman(1943)	15	26.7	30.5	0.4	Phillips(1948)
Sardinops sagax	0.43	C	Fletcher(1995)	15	15.5	17	0.7	Fletcher(1995)
Sebastes alutus	0.04	C	Archibald et al.(1981)	8	41.5	42.6	0.13	Archibald et al.(1981)
Sebastes brevispinis	0.04	C	Archibald et al.(1981)	8	53.7	56.8	0.09	Archibald et al.(1981)
Sebastes crameri	0.07	C	Archibald et al.(1981)	8	33.5	38.3	0.09	Archibald et al.(1981)
Sebastes elongatus	0.15	M	Shaw & Gunderson(2006)	12	29	30.1	0.11	Shaw & Gunderson(2006)
Sebastes elongatus	0.15	F	Shaw & Gunderson(2006)	12	34.5	37.5	0.08	Shaw & Gunderson(2006)
Sebastes emphaeus	0.44	F	Beckmann et al.(1998)	12	15.7	17.1	0.54	Beckmann et al.(1998)
Sebastes flavidus	0.07	C	Archibald et al.(1981)	8	48	48.6	0.19	Archibald et al.(1981)
Sebastes pinniger	0.04	M	Archibald et al.(1981)	8	50.7	52.8	0.14	Archibald et al.(1981)
Sebastes pinniger	0.11	F	Archibald et al.(1981)	8	54.2	62.1	0.1	Archibald et al.(1981)
Sebastes prioriger	0.1	C	Archibald et al.(1981)	8	36.5	39.3	0.17	Archibald et al.(1981)
Sebastes reedi	0.12	C	Archibald et al.(1981)	8	42.5	44.5	0.13	Archibald et al.(1981)
Sebastes zacentrus	0.07	C	Archibald et al.(1981)	8	31.3	34.9	0.1	Archibald et al.(1981)
Serranus cabrilla	0.68	C	Macpherson et al.(2000)	17	18.5	23.8	0.3	Tserpes & Tsimenides(2001)
Sparisoma viride	0.24	C	Choat et al.(2003)	28	18.7	28.1	0.6	Choat et al.(2003)
Symphodus roissali	1.71	C	Macpherson et al.(2000)	17	9	16.5	0.35	Gordoa et al.(2000)
Thunnus alalunga	0.19	C	Wang & Liu(2006)	25	77.4	122.2	0.21	Santiago & Arrizabalaga(2005)
Thunnus albacares	6.2	C	Hampton(2000)	25	25	166.4	0.25	Hampton(2000)
Thunnus albacares	3.6	C	Hampton(2000)	25	35	166.4	0.25	Hampton(2000)
Thunnus albacares	1.4	C	Hampton(2000)	25	45	166.4	0.25	Hampton(2000)
Thunnus albacares	0.68	C	Hampton(2000)	25	55	166.4	0.25	Hampton(2000)
Thunnus albacares	0.44	C	Hampton(2000)	25	65	166.4	0.25	Hampton(2000)
Thunnus albacares	0.69	C	Hampton(2000)	25	75	166.4	0.25	Hampton(2000)
Thunnus albacares	1.8	C	Hampton(2000)	25	85	166.4	0.25	Hampton(2000)
Thunnus albacares	2.1	C	Hampton(2000)	25	95	166.4	0.25	Hampton(2000)
Thunnus albacares	5.22	C	Adam et al.(2003)	25	32.5	181.7	0.25	Hampton(2000)
Thunnus albacares	0.8	C	Adam et al.(2003)	25	50.5	181.7	0.25	Hampton(2000)
Thunnus albacares	1.31	C	Adam et al.(2003)	25	98	181.7	0.25	Hampton(2000)
Thunnus maccoyii	0.24	C	Hampton(1991a)	26	95.1	186.9	0.14	Hampton(1991b)
Thunnus obesus	4.2	C	Hampton(2000)	25	30	181.7	0.25	Hampton(2000)
Thunnus obesus	0.5	C	Hampton(2000)	25	50	181.7	0.25	Hampton(2000)
Thunnus obesus	0.8	C	Hampton(2000)	25	70	181.7	0.25	Hampton(2000)
Thunnus obesus	0.1	C	Hampton(2000)	25	90	181.7	0.25	Hampton(2000)
Thunnus obesus	0.9	C	Hampton(2000)	25	110	181.7	0.25	Hampton(2000)
Thunnus obesus	2.12	C	Adam et al.(2003)	25	42	181.7	0.25	Hampton(2000)
Thunnus obesus	1.35	C	Adam et al.(2003)	25	63	181.7	0.25	Hampton(2000)
Thunnus obesus	0.66	C	Adam et al.(2003)	25	102	181.7	0.25	Hampton(2000)
Trachurus declivis	0.18	C	Horn(1993)	12	50.4	51.1	0.25	Horn(1993)
Trachurus novaezelandiae	0.18	C	Horn(1993)	12	35.8	38.5	0.23	Horn(1993)
Trisopterus esmarkii	1.6	C	Raitt(1968)	9	14	19.3	0.59	Raitt(1968)
Trisopterus esmarkii	1.6	C	Raitt(1968)	9	14	19	0.44	Raitt(1968)
Trisopterus esmarkii	1.48	C	Bailey & Kunzlik(1984)	9	18.6	21.5	0.45	Bailey & Kunzlik(1984)
Trisopterus esmarkii	1.5	C	Bailey & Kunzlik(1984)	9	19.5	21.6	0.53	Bailey & Kunzlik(1984)
Trisopterus esmarkii	2.43	C	Bailey & Kunzlik(1984)	9	23	26.4	0.61	Bailey & Kunzlik(1984)
