species	lmax	amax
Dolichopteryx longipes	NA	NA
Drepane africana	45	NA
Drepane punctata	41	NA
Dussumieria acuta	18	NA
Dussumieria elopsoides	NA	NA
Edelia vittata	NA	NA
Elagatis bipinnulata	NA	NA
Elops saurus	NA	NA
Enchelyopus cimbrius	NA	NA
Encrasicholina devisi	7	NA
Encrasicholina heteroloba	7	NA
Encrasicholina punctifer	NA	NA
Encrasicholina purpurea	NA	NA
Enedrias nebulosus	28	NA
Engraulicypris sardella	13	NA
Engraulis anchoita	20.5	NA
Engraulis australis	15.7	NA
Engraulis encrasicolus	18.6666666666667	2.5
Engraulis japonicus	NA	2.75
Engraulis mordax	15.3333333333333	7
Engraulis ringens	19	3
Eopsetta grigorjewi	NA	NA
Eopsetta jordani	NA	NA
Epinephelus adscensionis	NA	NA
Epinephelus aeneus	115	NA
Epinephelus areolatus	41	NA
Epinephelus chlorostigma	71.5	NA
Epinephelus coioides	105.5	NA
Epinephelus costae	NA	NA
Epinephelus cyanopodus	NA	NA
Epinephelus diacanthus	51.4	NA
Epinephelus drummondhayi	NA	25
Epinephelus fasciatus	52	NA
Epinephelus fuscoguttatus	NA	NA
Epinephelus guttatus	56	NA
Epinephelus itajara	NA	NA
Epinephelus labriformis	32	NA
Epinephelus latifasciatus	121	NA
Epinephelus maculatus	NA	NA
Epinephelus marginatus	NA	50
Epinephelus merra	NA	NA
Epinephelus morio	NA	NA
Epinephelus multinotatus	100	NA
Epinephelus nigritus	200	NA
Epinephelus niveatus	NA	27
Epinephelus ongus	NA	NA
Epinephelus polylepis	74	NA
Epinephelus rivulatus	NA	NA
Epinephelus sexfasciatus	NA	NA
Epinephelus striatus	85	16
Epinephelus tauvina	107	NA
Eptatretus polytrema	NA	NA
Esox lucius	NA	NA
Esox masquinongy	165	NA
Esox reichertii	NA	NA
Etelis carbunculus	88.3333333333333	NA
Etelis coruscans	96	NA
Etelis oculatus	93	NA
Ethmalosa fimbriata	28	NA
Etrumeus teres	26	NA
Etrumeus whiteheadi	NA	NA
Eucinostomus gula	NA	NA
Eudontomyzon mariae	21.4	NA
Eugerres brasilianus	NA	NA
Eugerres plumieri	NA	NA
Euthynnus affinis	98.6666666666667	NA
Euthynnus alletteratus	97	NA
Evynnis japonica	NA	NA
Facciolella gilberti	NA	NA
Favonigobius lateralis	NA	NA
Forbesichthys agassizi	NA	NA
Forsterygion lapillum	NA	NA
Forsterygion varium	NA	NA
Fundulus parvipinnis	7.2	NA
Furgaleus macki	160	NA
Gadiculus argenteus argenteus	11	NA
Gadiculus argenteus thori	NA	NA
Gadus macrocephalus	NA	NA
Gadus morhua	132	14
Gaidropsarus mediterraneus	NA	NA
Galaxiella munda	NA	NA
Galaxiella nigrostriata	4	NA
Galaxiella pusilla	NA	NA
Galeocerdo cuvier	459.5	NA
Galeoides decadactylus	39	NA
Galeorhinus galeus	171.333333333333	55
Gambusia affinis	NA	NA
Gasterosteus aculeatus aculeatus	NA	4
Gazza minuta	NA	NA
Genypterus blacodes	147.75	NA
Genypterus capensis	150	NA
Gerres cinereus	NA	NA
Gerres filamentosus	NA	NA
Gerres oyena	40	NA
Gigantura indica	NA	NA
Ginglymostoma cirratum	NA	NA
Girella tricuspidata	71	NA
Glossanodon semifasciatus	NA	NA
Glossogobius giuris	17.5	NA
